Student_ID,CGPA,DSA,Python,Java,C++,SQL,DBMS,Operating_System,Computer_Networks,OOPS,React,NodeJS,MongoDB,Git,Linux,AWS,Docker,Kubernetes,Machine_Learning,Communication,Presentation,Teamwork,Leadership,Critical_Thinking,Problem_Solving,Adaptability,Internships,Projects,Hackathons,Certifications,LeetCode,GitHub_Repos,Industry_Ready
S1012,9.08,35,41,50,59,89,54,67,45,84,62,53,42,77,70,77,83,68,47,94,79,52,28,86,98,66,1,3,3,7,89,11,Industry Ready
S1013,6.41,34,58,54,68,62,45,90,92,69,35,99,79,68,42,96,45,34,72,43,94,46,33,90,71,52,2,1,0,2,119,2,Moderately Ready
S1014,6.28,86,36,44,42,82,80,36,82,54,41,74,40,98,65,30,58,67,86,63,46,74,93,96,72,86,3,0,4,6,163,19,Industry Ready
S1015,6.29,57,43,64,45,62,98,48,47,62,82,23,85,44,46,33,99,28,45,58,94,83,41,80,65,72,1,4,4,3,315,7,Industry Ready
S1016,6.81,98,41,78,73,70,62,47,94,71,65,68,70,87,55,25,95,11,58,69,92,65,35,55,78,64,1,1,2,0,220,18,Industry Ready
S1017,7.76,88,34,72,56,48,82,58,83,37,64,63,34,55,87,41,62,67,32,61,70,89,60,87,48,94,3,0,3,3,387,13,Industry Ready
S1018,7.36,62,61,70,74,70,69,68,41,93,60,50,77,99,51,92,78,75,90,78,43,48,86,47,86,95,1,5,3,1,20,0,Industry Ready
S1019,6.75,91,72,66,64,71,42,53,59,61,44,67,45,66,92,35,11,16,73,87,68,74,47,42,39,98,0,5,0,2,96,19,Moderately Ready
S1020,8.13,79,98,86,57,52,56,64,57,66,69,45,78,78,85,12,89,60,32,79,46,63,48,42,76,55,2,0,2,2,478,13,Industry Ready
S1021,6.1,48,74,71,36,62,58,83,85,82,86,89,64,71,61,91,80,42,78,66,82,72,84,49,41,86,2,6,2,2,374,18,Industry Ready
S1022,6.76,98,38,76,91,49,98,77,81,80,71,31,85,59,69,16,73,84,23,54,69,60,47,51,52,77,1,4,2,0,475,6,Industry Ready
S1023,7.08,95,78,90,80,54,99,50,39,81,50,64,54,62,76,97,30,22,99,91,42,92,51,54,91,65,2,6,0,4,355,12,Industry Ready
S1024,7.46,76,62,43,75,81,48,86,47,74,56,27,83,75,83,25,44,19,76,76,64,61,71,86,78,93,1,0,4,1,352,8,Industry Ready
S1025,8.88,68,47,97,49,41,59,83,76,37,41,28,96,22,65,62,55,68,79,93,73,78,30,66,95,98,2,7,1,0,3,15,Industry Ready
S1026,6.36,97,38,82,67,61,37,45,39,63,46,20,46,90,93,97,95,47,66,40,72,58,45,97,97,86,1,6,3,0,387,15,Industry Ready
S1027,7.71,62,91,63,90,62,39,81,57,92,21,24,99,31,73,13,57,29,96,51,70,83,50,90,66,91,1,1,4,4,160,7,Industry Ready
S1028,8.05,42,86,53,61,97,99,69,96,84,41,90,50,84,72,54,31,94,93,48,63,85,39,85,62,57,1,2,1,3,141,7,Industry Ready
S1029,5.7,83,58,49,55,44,88,63,35,44,72,73,31,62,48,41,15,23,24,58,77,84,88,50,38,56,0,2,4,3,495,17,Moderately Ready
S1030,8.11,36,54,98,87,80,53,88,88,95,36,43,64,89,56,92,42,97,55,57,85,71,60,45,49,85,1,0,4,2,392,1,Industry Ready
S1031,6.23,43,44,59,68,35,88,57,37,95,75,45,51,65,88,87,48,49,38,98,43,44,86,51,36,93,0,3,4,0,87,1,Moderately Ready
S1032,5.78,48,35,36,49,98,44,58,98,57,50,29,73,79,33,67,52,16,49,78,87,51,63,57,57,64,0,1,4,4,319,9,Moderately Ready
S1033,9.58,83,71,65,79,98,50,44,85,40,62,80,85,80,46,22,34,78,60,50,49,79,79,64,93,97,3,7,2,6,189,16,Industry Ready
S1034,9.65,49,58,67,81,64,80,95,36,94,91,59,51,68,24,31,27,15,67,50,64,45,26,73,57,65,1,2,4,4,88,7,Moderately Ready
S1035,8.98,58,33,81,51,63,63,42,83,61,72,63,34,44,63,53,50,49,47,69,76,57,73,65,60,57,0,7,1,3,134,7,Industry Ready
S1036,6.81,53,86,44,82,92,49,82,65,89,24,31,74,22,34,53,44,62,50,59,82,46,82,63,68,88,3,3,1,4,493,4,Industry Ready
S1037,5.92,92,78,75,95,97,82,63,37,65,21,41,60,87,86,39,33,18,76,91,40,58,99,97,47,40,2,7,3,3,475,2,Industry Ready
S1038,8.44,86,73,52,72,47,45,60,69,64,78,46,59,82,20,32,64,74,62,97,56,54,32,55,74,85,0,2,5,3,260,0,Industry Ready
S1039,7.39,37,43,41,52,55,68,71,70,47,23,86,91,49,43,21,49,29,84,54,85,81,52,75,85,46,0,3,0,6,365,19,Industry Ready
S1040,6.02,91,32,73,93,90,70,86,98,93,53,88,68,23,95,23,96,15,28,96,46,48,26,75,44,69,0,7,1,5,12,6,Industry Ready
S1041,7.63,58,91,44,38,77,64,72,66,88,86,33,57,97,81,45,38,86,31,94,53,59,49,60,73,72,3,0,1,0,246,6,Industry Ready
S1042,5.65,46,93,78,36,60,53,40,52,55,92,44,75,90,97,54,19,48,31,64,40,87,30,69,38,64,3,5,1,5,385,12,Industry Ready
S1043,9.41,95,74,50,70,63,67,42,68,77,25,71,53,40,76,81,88,30,61,88,45,98,89,88,86,64,0,6,1,1,249,20,Industry Ready
S1044,6.61,35,87,44,83,36,56,51,90,45,77,78,20,90,39,33,19,46,92,42,78,59,40,59,90,66,1,7,0,5,83,5,Moderately Ready
S1045,8.35,87,49,43,94,36,70,96,87,72,66,57,29,20,77,12,99,21,72,97,82,43,51,93,61,74,3,3,0,2,395,12,Industry Ready
S1046,6.84,98,87,71,31,76,57,68,98,58,24,39,59,79,33,87,73,79,76,82,49,49,24,99,42,82,3,0,5,1,116,1,Industry Ready
S1047,7.74,57,86,44,33,37,97,53,73,85,80,97,35,53,97,60,38,24,35,65,60,81,54,81,87,57,2,5,4,6,90,1,Industry Ready
S1048,7.85,91,97,92,61,30,60,71,72,95,75,39,65,22,72,84,27,30,96,84,42,79,66,89,47,96,2,6,5,4,262,1,Industry Ready
S1049,6.29,70,81,97,31,32,94,72,74,80,54,75,43,37,54,64,11,94,69,67,58,40,31,98,80,69,0,3,1,5,161,14,Industry Ready
S1050,9.67,98,66,56,93,82,39,49,53,77,32,49,33,62,81,47,34,90,23,45,67,74,56,58,70,53,2,6,1,7,148,14,Industry Ready
S1051,8.83,70,37,82,43,67,88,74,39,61,45,60,58,95,80,96,94,55,32,85,41,63,63,50,77,74,1,3,3,1,187,17,Industry Ready
S1052,9.54,78,73,81,49,80,72,43,48,64,83,90,37,97,38,91,60,80,79,71,66,83,41,53,69,73,0,7,3,1,337,4,Industry Ready
S1053,9.35,78,34,92,78,44,96,87,83,97,98,82,60,60,61,29,31,96,47,50,83,46,30,75,85,59,0,6,3,3,393,13,Industry Ready
S1054,8.07,32,98,82,37,96,59,86,98,44,30,88,75,43,63,11,18,95,31,52,71,61,74,55,97,54,3,6,3,0,421,4,Industry Ready
S1055,9.46,39,60,86,92,93,46,35,91,37,81,48,55,43,20,35,98,19,43,56,51,62,29,42,47,46,0,3,4,7,185,7,Moderately Ready
S1056,5.88,64,74,81,75,97,56,64,69,94,99,98,43,22,87,11,98,91,20,85,40,40,61,96,81,52,2,6,2,4,55,20,Industry Ready
S1057,6.34,31,38,72,50,34,43,35,39,61,66,96,48,78,97,76,83,75,53,92,85,63,99,61,40,75,0,1,3,2,486,10,Industry Ready
S1058,5.69,53,61,36,61,39,63,73,73,79,89,63,41,77,65,93,13,85,22,85,82,59,95,82,52,79,0,2,3,6,427,7,Industry Ready
S1059,6.9,67,62,71,37,37,78,50,58,96,94,98,30,92,70,83,30,48,41,75,79,71,74,44,42,99,2,6,0,7,212,5,Industry Ready
S1060,7.17,51,96,33,45,41,61,51,74,58,77,76,60,43,51,51,39,31,46,69,68,70,69,92,75,92,3,6,5,6,463,3,Industry Ready
S1061,6.67,55,59,98,69,93,89,56,84,80,29,43,68,85,99,94,42,95,40,43,48,72,51,41,95,73,1,6,1,7,370,19,Industry Ready
S1062,9.06,72,58,34,56,88,39,65,92,78,35,38,30,59,38,49,52,51,32,53,57,75,87,51,54,52,2,3,4,6,447,2,Industry Ready
S1063,7.03,84,32,70,47,96,86,74,35,97,31,36,71,90,58,18,99,95,63,85,84,57,37,84,90,97,1,0,1,3,147,11,Industry Ready
S1064,6.71,68,86,33,64,79,47,61,77,38,90,88,86,28,33,11,11,15,99,67,75,76,84,96,36,43,1,3,2,7,305,10,Industry Ready
S1065,7.83,58,59,31,81,52,76,70,73,50,69,80,94,79,48,37,96,61,43,46,55,72,44,41,66,52,1,7,4,2,309,4,Industry Ready
S1066,6.11,49,38,96,44,69,49,38,44,85,34,23,27,58,61,12,40,46,65,55,74,72,50,76,56,87,0,1,2,6,429,7,Moderately Ready
S1067,8.95,70,55,50,92,47,52,59,36,82,78,41,50,52,33,25,13,93,36,53,75,44,38,94,75,83,1,7,1,0,494,10,Industry Ready
S1068,5.82,83,31,99,82,50,84,64,97,99,89,93,93,53,30,13,56,15,24,76,43,57,37,58,44,52,3,7,0,7,39,10,Industry Ready
S1069,9.74,49,91,72,95,30,36,81,50,79,81,25,25,81,94,32,93,82,57,78,79,48,87,63,73,62,3,1,3,1,151,19,Industry Ready
S1070,8.82,48,32,98,60,67,47,46,71,37,91,49,90,80,66,86,98,38,78,88,82,81,52,44,79,68,3,5,1,5,494,2,Industry Ready
S1071,6.35,95,75,38,90,70,81,61,50,51,81,94,32,46,43,15,54,78,46,66,74,70,89,65,39,72,0,6,4,1,84,10,Industry Ready
S1072,5.52,59,97,57,93,71,84,79,61,71,69,30,25,36,41,83,74,60,73,69,58,46,26,67,46,62,2,7,3,7,107,5,Industry Ready
S1073,9.01,82,54,55,63,38,46,97,97,39,96,67,86,79,68,64,75,86,90,54,99,54,20,74,66,42,3,1,4,0,313,5,Industry Ready
S1074,8.54,63,80,32,84,52,47,89,98,81,73,65,46,61,74,90,15,36,74,96,45,85,99,58,74,71,1,3,2,4,286,17,Industry Ready
S1075,8.63,51,42,78,88,40,43,64,66,78,73,46,64,66,74,17,16,96,90,95,70,43,78,70,52,94,0,3,4,3,117,4,Industry Ready
S1076,8.82,96,73,46,32,60,93,48,43,67,47,38,45,72,89,82,60,46,62,78,66,85,53,58,98,42,0,3,0,6,177,4,Industry Ready
S1077,5.82,35,64,92,46,55,79,90,45,55,70,78,23,40,97,90,77,55,57,81,42,78,71,82,35,51,3,6,2,6,137,18,Industry Ready
S1078,7.04,56,84,84,75,59,77,53,64,66,93,87,56,27,92,95,27,34,80,57,92,47,30,83,87,99,1,2,5,1,83,4,Industry Ready
S1079,6.0,39,38,52,67,63,57,60,49,58,52,73,40,92,54,73,50,46,64,50,75,63,27,58,76,95,1,3,5,7,269,0,Industry Ready
S1080,9.21,77,31,63,64,75,79,72,93,69,20,36,47,77,63,76,78,32,77,61,98,47,72,59,72,43,3,4,1,5,18,0,Industry Ready
S1081,8.18,99,90,98,30,98,57,70,82,52,88,69,51,87,55,50,34,35,48,85,75,99,34,81,51,72,1,7,3,0,29,6,Industry Ready
S1082,6.92,88,70,44,58,34,68,52,94,88,20,59,72,82,34,49,65,85,73,43,41,44,47,56,96,71,0,6,3,3,312,8,Industry Ready
S1083,5.77,88,73,76,33,90,50,91,91,60,74,30,52,78,64,36,10,61,53,42,87,62,33,51,62,56,0,1,0,3,271,15,Moderately Ready
S1084,6.84,31,93,32,90,67,97,57,98,94,64,33,45,49,81,48,64,12,40,63,96,82,77,74,56,91,3,3,4,0,21,8,Industry Ready
S1085,6.9,58,60,57,46,57,85,48,88,99,92,32,36,44,69,62,12,82,64,53,76,94,76,65,80,48,1,6,1,1,309,11,Industry Ready
S1086,8.64,97,76,32,57,55,66,56,88,85,99,99,75,75,97,49,63,88,20,91,54,73,71,97,72,44,2,5,5,4,83,10,Industry Ready
S1087,8.24,94,31,33,79,90,72,62,93,94,59,47,49,53,32,61,90,81,29,42,76,54,56,92,66,60,3,2,4,1,325,11,Industry Ready
S1088,9.32,55,98,60,37,52,90,77,73,93,80,63,24,69,50,46,41,37,77,98,62,90,21,47,89,42,0,0,5,1,108,9,Industry Ready
S1089,7.53,39,87,74,63,75,51,52,49,51,55,82,25,21,24,76,97,99,47,70,83,98,53,79,43,92,3,6,4,1,426,8,Industry Ready
S1090,6.01,82,73,88,88,59,73,70,62,55,43,80,81,96,27,28,11,89,80,92,90,89,53,64,84,78,3,7,0,5,224,12,Industry Ready
S1091,8.57,88,85,74,47,96,75,41,70,62,99,36,29,72,32,43,74,43,49,96,86,86,77,64,71,42,0,1,5,1,488,11,Industry Ready
S1092,8.77,51,72,66,88,62,82,57,88,78,33,69,89,60,60,87,17,93,47,97,99,58,92,84,99,76,2,3,2,5,402,8,Industry Ready
S1093,7.91,80,63,94,56,32,62,68,51,96,94,45,29,42,36,94,67,74,48,74,45,64,80,61,78,83,3,3,5,5,4,18,Industry Ready
S1094,8.82,77,59,38,45,98,84,55,56,76,20,26,63,80,51,75,62,97,50,70,72,78,73,52,94,74,2,0,2,2,70,3,Industry Ready
S1095,7.62,50,99,46,39,71,35,81,70,56,66,98,75,50,24,19,53,38,87,96,44,43,86,81,63,72,2,2,0,0,481,0,Moderately Ready
S1096,7.75,51,84,94,51,91,84,87,63,72,95,35,23,85,28,61,82,13,93,91,60,85,49,54,97,93,0,4,0,4,275,12,Industry Ready
S1097,7.34,59,96,32,45,87,53,75,89,48,40,36,32,21,53,51,37,77,50,51,96,47,99,62,60,42,3,6,0,5,398,1,Industry Ready
S1098,5.61,54,42,55,41,86,93,66,76,60,92,54,93,88,20,69,28,71,60,49,67,68,78,67,79,87,3,0,4,4,37,7,Industry Ready
S1099,5.96,57,32,82,80,30,75,48,66,74,58,42,99,79,59,90,65,47,83,59,60,94,77,87,69,57,2,2,5,2,128,11,Industry Ready
S1100,5.64,94,55,60,30,89,44,51,48,88,22,88,38,97,98,11,29,76,61,57,63,81,43,52,41,42,3,5,5,4,117,12,Industry Ready
S1101,8.24,74,86,55,56,98,62,59,52,47,35,28,89,42,73,10,80,11,63,83,90,52,34,71,87,68,2,7,4,2,4,12,Industry Ready
S1102,6.85,97,53,52,96,88,68,98,72,53,87,37,81,76,51,59,65,85,50,95,67,77,41,50,75,76,0,2,1,2,481,0,Industry Ready
S1103,7.69,36,82,59,41,75,73,82,68,76,45,94,28,54,69,45,44,53,30,75,50,75,51,83,38,44,0,5,0,5,437,7,Industry Ready
S1104,9.4,78,99,39,59,63,90,69,79,75,73,67,65,20,78,31,28,88,55,90,61,76,94,53,36,48,0,6,4,4,84,4,Industry Ready
S1105,6.57,38,72,93,38,54,86,71,66,84,32,91,75,67,81,91,90,41,51,58,85,81,61,91,69,51,2,6,2,4,316,18,Industry Ready
S1106,7.26,65,89,51,82,71,37,89,97,37,80,85,93,68,30,45,72,95,58,56,85,95,78,74,67,55,3,3,5,6,77,19,Industry Ready
S1107,8.75,30,87,44,90,58,57,51,89,65,39,42,59,59,42,12,91,12,86,79,73,84,74,86,84,66,3,7,5,1,400,16,Industry Ready
S1108,6.48,39,78,85,83,54,51,62,77,49,46,29,86,81,45,53,16,26,79,50,96,90,24,82,47,48,1,5,0,5,124,18,Industry Ready
S1109,5.83,65,71,49,66,83,60,35,56,88,21,57,81,34,82,25,36,21,44,44,93,82,60,74,41,89,1,3,2,2,381,1,Moderately Ready
S1110,6.75,75,95,76,94,96,52,87,63,87,29,78,65,49,65,20,48,73,47,76,76,99,76,89,73,98,0,7,3,3,75,11,Industry Ready
S1111,6.19,61,40,82,71,44,80,89,74,79,79,87,25,40,88,19,39,72,38,84,80,70,72,79,83,93,3,1,1,7,282,0,Industry Ready
S1112,9.5,61,47,82,78,33,65,95,79,72,38,62,48,27,25,60,32,87,48,75,56,58,57,62,37,96,2,3,3,0,453,11,Industry Ready
S1113,8.97,35,81,30,33,67,43,47,44,84,34,31,38,26,70,51,93,81,69,84,90,76,20,79,51,96,2,5,1,1,358,18,Industry Ready
S1114,8.22,77,75,31,93,49,69,81,79,58,66,72,34,53,62,94,32,50,38,87,54,64,79,52,59,82,2,5,0,6,495,11,Industry Ready
S1115,9.25,67,73,87,80,52,94,98,51,51,43,33,76,83,61,34,99,11,75,83,68,76,95,45,48,61,3,3,5,7,280,0,Industry Ready
S1116,8.96,46,51,48,89,66,97,66,36,52,35,71,57,61,32,15,56,62,37,53,73,40,65,68,39,56,3,2,1,5,346,2,Moderately Ready
S1117,6.3,56,82,91,60,91,86,62,51,76,79,91,40,72,44,53,87,43,64,92,80,60,23,81,67,40,0,3,4,7,428,0,Industry Ready
S1118,9.34,83,88,41,87,37,82,87,72,51,99,80,70,89,21,17,57,97,99,67,82,80,34,54,85,96,1,3,2,2,129,0,Industry Ready
S1119,7.82,79,59,55,33,66,95,65,71,50,68,60,58,29,33,43,72,93,60,92,61,78,31,99,51,42,3,6,5,5,149,8,Industry Ready
S1120,8.97,64,37,56,51,74,58,42,97,86,23,40,39,77,36,50,18,83,32,48,66,80,20,97,95,44,2,7,4,1,351,0,Industry Ready
S1121,9.35,54,86,58,32,62,92,59,39,70,85,67,21,23,59,10,32,49,87,98,77,65,96,44,65,61,3,3,0,7,309,11,Industry Ready
S1122,6.87,57,49,44,76,36,98,67,59,73,68,75,51,27,58,12,72,80,96,77,54,81,49,72,49,40,1,6,3,1,144,20,Industry Ready
S1123,5.97,44,54,75,67,51,64,41,56,59,50,54,23,31,44,61,83,74,87,68,60,92,93,79,74,86,1,5,2,5,188,4,Industry Ready
S1124,6.48,33,48,30,62,34,63,80,97,76,85,63,26,44,67,86,56,64,43,64,91,42,25,41,99,88,2,6,0,6,484,14,Industry Ready
S1125,7.34,56,34,89,77,44,44,39,69,55,73,58,22,46,68,52,96,83,52,47,43,89,92,72,54,43,0,6,4,7,65,14,Industry Ready
S1126,9.02,55,56,86,94,50,73,51,89,93,21,34,44,21,52,56,83,60,92,87,86,80,69,64,68,61,1,4,4,5,244,14,Industry Ready
S1127,9.2,48,69,32,55,46,89,86,54,64,80,31,28,92,46,92,75,14,74,58,57,44,21,98,99,63,1,4,1,0,243,16,Industry Ready
S1128,5.53,46,55,47,37,85,62,46,39,91,34,27,45,74,64,28,46,65,22,41,46,82,25,66,66,94,1,1,1,4,118,8,Moderately Ready
S1129,7.7,72,56,81,79,79,52,96,73,67,79,86,83,77,50,79,47,30,22,45,55,68,94,95,56,71,1,7,3,4,153,20,Industry Ready
S1130,7.29,70,91,89,67,36,75,69,97,87,62,20,37,52,82,56,10,67,49,69,93,72,96,98,96,85,1,5,1,5,439,13,Industry Ready
S1131,6.46,71,79,63,39,79,99,96,66,50,59,99,21,68,57,87,57,82,37,41,74,41,57,87,79,41,3,7,1,0,160,17,Industry Ready
S1132,6.02,79,71,89,71,89,80,55,97,83,49,61,20,24,98,14,91,40,85,90,51,57,95,64,45,75,2,0,1,5,0,15,Industry Ready
S1133,6.95,69,58,55,66,36,94,87,74,39,82,50,67,66,59,73,44,55,62,58,46,99,37,44,67,44,3,6,3,1,39,8,Industry Ready
S1134,9.55,68,68,48,55,69,43,55,51,94,43,93,99,43,77,54,80,36,92,52,80,91,38,90,72,95,0,2,0,2,170,14,Industry Ready
S1135,6.89,52,89,51,41,74,79,49,66,89,63,49,82,63,84,73,95,79,85,88,49,53,47,82,99,46,1,1,5,4,299,19,Industry Ready
S1136,7.73,81,70,62,78,88,94,57,57,69,33,62,55,87,30,54,62,40,46,92,40,93,31,79,97,75,0,2,2,6,189,20,Industry Ready
S1137,8.52,76,62,67,43,84,62,65,94,76,47,45,82,33,34,45,34,50,38,47,51,79,71,43,72,79,0,6,0,3,291,14,Industry Ready
S1138,7.06,92,45,64,75,93,37,88,90,58,33,31,94,55,76,18,51,54,35,48,66,69,96,53,47,82,2,0,5,7,439,8,Industry Ready
S1139,9.68,98,52,96,64,94,85,89,43,89,75,78,45,70,44,32,32,45,45,62,67,68,77,56,82,47,3,0,5,5,422,1,Industry Ready
S1140,9.64,72,36,39,58,83,42,60,96,48,53,88,25,25,58,41,18,11,33,76,97,68,41,80,58,75,0,5,0,5,472,20,Industry Ready
S1141,6.58,77,55,44,41,69,93,87,98,89,97,92,45,36,52,54,36,71,66,47,95,58,64,66,70,82,0,7,0,2,396,10,Industry Ready
S1142,7.64,63,41,40,73,82,95,73,56,49,31,30,62,91,48,37,84,30,37,48,57,85,81,75,54,51,0,1,4,1,294,2,Moderately Ready
S1143,6.79,69,34,53,95,73,92,41,66,39,75,66,20,70,77,61,60,43,47,55,40,65,61,99,77,67,0,4,2,3,125,9,Industry Ready
S1144,6.72,90,98,33,31,92,46,73,81,38,80,42,28,71,91,20,66,95,38,55,96,85,86,73,91,41,1,6,2,2,483,8,Industry Ready
S1145,5.66,79,78,42,88,31,43,66,36,64,80,62,46,31,30,28,91,22,49,51,89,97,28,49,99,86,2,7,4,0,267,15,Industry Ready
S1146,8.12,96,55,86,46,50,83,60,86,87,59,96,90,20,32,73,45,28,40,64,62,93,83,90,94,53,2,4,5,3,20,9,Industry Ready
S1147,7.66,91,34,66,39,79,51,63,48,64,39,58,22,30,88,74,43,42,40,96,78,91,34,61,77,58,2,4,4,5,86,7,Industry Ready
S1148,5.72,87,51,77,47,81,88,59,71,95,61,92,80,35,40,82,22,58,67,50,56,79,49,80,99,60,0,3,5,1,401,3,Industry Ready
S1149,6.7,62,42,30,51,38,78,90,61,89,26,74,92,28,22,66,64,12,74,57,84,48,45,61,80,69,0,3,1,6,268,20,Industry Ready
S1150,9.41,45,57,89,87,49,66,65,58,76,98,37,21,27,45,75,55,47,49,52,81,96,88,67,96,88,1,1,4,5,274,7,Industry Ready
S1151,6.53,77,62,41,82,47,69,36,98,63,92,61,93,44,52,13,61,92,61,74,85,85,41,87,60,87,0,3,3,3,418,14,Industry Ready
S1152,6.12,39,52,50,30,59,83,81,60,69,87,45,50,93,41,38,37,80,56,57,40,83,73,99,63,76,3,7,4,0,45,9,Industry Ready
S1153,7.6,67,47,40,90,94,88,63,88,79,50,37,84,59,81,13,95,24,60,82,94,52,77,59,75,91,3,2,1,4,111,11,Industry Ready
S1154,9.74,48,59,73,60,53,50,83,49,63,89,60,37,86,24,10,97,47,65,69,77,77,98,88,49,60,0,1,4,4,184,14,Industry Ready
S1155,6.54,65,55,87,60,76,46,66,63,37,95,61,25,42,38,27,39,34,79,82,43,70,72,41,53,67,3,7,3,5,417,0,Industry Ready
S1156,8.39,88,45,73,95,73,42,64,62,91,66,52,61,81,28,22,54,70,93,76,90,53,38,62,93,99,3,1,4,6,499,7,Industry Ready
S1157,8.77,92,68,63,48,58,55,49,93,56,70,62,87,42,77,79,47,95,20,69,54,70,53,90,62,72,2,7,5,4,189,19,Industry Ready
S1158,6.52,75,62,54,82,97,82,96,55,61,77,33,23,63,43,58,29,96,73,99,60,54,33,73,49,81,0,0,0,0,55,14,Moderately Ready
S1159,8.63,32,55,33,51,46,42,51,44,56,41,74,23,75,58,56,79,59,54,42,60,73,41,87,92,46,2,0,2,5,128,14,Moderately Ready
S1160,7.08,94,77,93,52,34,62,56,38,83,43,77,84,87,95,95,56,19,35,68,98,89,32,55,87,81,3,1,3,6,440,10,Industry Ready
S1161,8.22,37,94,45,44,79,44,64,96,58,53,29,60,42,80,39,68,59,24,64,90,49,83,67,76,96,2,4,3,2,109,15,Industry Ready
S1162,8.22,80,67,39,55,69,86,50,38,61,82,47,62,28,67,36,88,51,50,41,61,96,75,93,62,55,3,0,3,0,341,9,Industry Ready
S1163,7.8,35,31,95,32,75,49,86,40,70,79,33,74,23,69,81,88,80,56,86,83,60,91,53,53,76,2,3,5,3,155,3,Industry Ready
S1164,5.89,68,35,64,49,80,38,42,50,51,38,45,38,53,81,37,23,61,44,44,53,78,61,91,36,90,0,6,0,2,131,9,Moderately Ready
S1165,9.09,89,75,35,69,40,96,98,72,90,43,93,40,53,72,11,51,55,81,99,74,93,85,40,52,64,3,7,0,4,484,17,Industry Ready
S1166,6.88,57,79,48,68,41,38,73,83,44,83,36,77,61,40,29,70,98,44,70,43,64,82,80,74,77,0,6,2,7,198,16,Industry Ready
S1167,6.3,83,67,88,47,42,75,65,95,88,39,53,49,22,57,84,68,49,86,44,74,76,61,54,87,83,1,1,1,5,74,15,Industry Ready
S1168,5.68,66,47,82,70,93,89,46,99,72,46,33,26,53,78,87,17,67,57,60,71,79,53,54,42,77,3,2,2,0,203,19,Industry Ready
S1169,8.04,38,56,37,99,37,62,67,84,38,77,45,88,62,62,33,66,33,67,87,67,59,48,64,43,81,2,1,3,1,423,6,Industry Ready
S1170,8.41,85,70,39,56,94,81,92,51,84,63,53,83,86,36,86,31,78,83,88,51,84,45,82,55,81,1,2,3,4,52,18,Industry Ready
S1171,5.57,88,46,96,44,38,43,46,62,95,84,43,21,56,88,81,93,94,21,65,93,46,42,44,78,84,0,0,3,1,38,18,Moderately Ready
S1172,7.7,31,91,67,66,31,36,59,78,55,65,89,86,31,63,53,97,49,83,46,69,96,55,47,94,90,0,4,2,5,290,4,Industry Ready
S1173,6.47,90,58,58,87,42,82,72,46,70,73,39,98,35,82,30,30,29,88,69,48,57,28,61,65,69,0,5,1,7,481,9,Industry Ready
S1174,8.27,87,87,44,34,31,62,82,37,80,58,58,93,81,42,31,37,38,39,73,58,80,61,78,47,56,1,2,1,2,337,3,Moderately Ready
S1175,6.25,89,99,52,36,97,48,89,83,78,26,64,28,36,87,82,58,46,30,67,55,83,86,77,79,55,3,4,2,7,393,6,Industry Ready
